Año,Población Total (Estimada/Proyectada)
2025,"133,367,428"
2024,"132,274,416"
2023,"131,135,337"
2022,"129,960,600"
2021,"128,982,939"
2020,"128,209,170"
2019,"127,215,666"
2018,"125,995,825"
2017,"124,777,172"
2016,"123,587,407"
2015,"122,368,490"
2014,"121,048,604"
2013,"119,597,654"
2012,"118,060,514"
2011,"116,446,180"
2010,"114,756,059"
2009,"113,030,218"
2008,"111,275,915"
2007,"109,538,665"
2006,"107,885,646"
2005,"106,370,948"
2004,"104,970,581"
2003,"103,587,899"
2002,"102,167,274"
2001,"100,739,263"
2000,"99,368,858"
1999,"98,085,415"
1998,"96,799,183"
1997,"95,438,019"
1996,"94,005,638"
1995,"92,506,744"
1994,"90,953,505"
1993,"89,364,560"
1992,"87,753,131"
1991,"86,127,477"
1990,"84,502,988"
1989,"82,889,981"
1988,"81,282,371"
1987,"79,665,004"
1986,"78,028,665"
1985,"76,375,259"
1984,"74,707,346"